ra,dec,V,eV,I,eI
0 56 45.580,-33 54 05.200,16.757,0.002,15.105,0.001
0 59 50.830,-33 54 05.200,19.796,0.006,18.940,0.008
0 59 59.980,-33 54 05.400,19.467,0.005,18.578,0.006
0 58 54.090,-33 54 05.700,17.665,0.002,16.915,0.002
1 02 56.010,-33 54 06.400,19.373,0.009,18.803,0.010
1 00 25.100,-33 54 07.100,22.988,0.060,22.124,0.106
0 59 15.690,-33 54 07.500,20.051,0.007,19.212,0.009
0 59 25.360,-33 54 07.500,21.342,0.017,20.555,0.027
0 59 52.100,-33 54 07.500,22.894,0.058,21.611,0.063
0 57 45.800,-33 54 07.700,15.327,0.001,14.576,0.001
1 00 41.780,-33 54 07.900,15.776,0.001,15.119,0.001
1 04 34.040,-33 54 08.200,21.579,0.050,20.715,0.051
0 53 32.330,-33 54 08.300,21.156,0.032,20.638,0.048
0 59 16.230,-33 54 08.600,22.475,0.039,21.771,0.076
1 00 15.680,-33 54 09.100,20.274,0.008,19.429,0.011
1 05 15.390,-33 54 09.100,21.999,0.053,21.477,0.101
1 00 50.430,-33 54 09.300,19.529,0.005,18.172,0.004
0 59 38.140,-33 54 09.600,22.379,0.036,21.693,0.073
1 00 22.710,-33 54 09.800,22.343,0.035,21.820,0.086
1 01 10.580,-33 54 10.100,19.580,0.005,18.613,0.006
0 58 09.200,-33 54 10.700,19.088,0.006,18.096,0.006
1 06 10.170,-33 54 10.900,22.313,0.076,19.072,0.010
1 01 27.990,-33 54 11.600,20.574,0.009,20.553,0.029
1 02 34.900,-33 54 11.600,19.415,0.009,18.852,0.015
0 59 49.530,-33 54 11.700,22.879,0.053,22.527,0.159
1 01 31.520,-33 54 11.800,21.301,0.031,20.549,0.061
0 56 52.400,-33 54 12.100,20.414,0.012,18.978,0.009
1 03 55.630,-33 54 12.300,22.326,0.117,19.334,0.015
0 57 07.160,-33 54 12.500,18.427,0.004,17.103,0.003
1 01 07.500,-33 54 12.500,22.736,0.051,20.737,0.026
0 55 40.250,-33 54 12.800,20.380,0.011,19.783,0.018
0 57 28.450,-33 54 12.900,21.203,0.023,20.391,0.031
0 59 54.920,-33 54 12.900,22.387,0.037,21.658,0.072
1 01 02.340,-33 54 12.900,22.031,0.028,20.786,0.031
1 05 26.600,-33 54 12.900,22.201,0.063,20.681,0.044
0 59 46.150,-33 54 13.100,22.844,0.052,22.472,0.151
1 01 11.080,-33 54 13.500,22.500,0.038,22.042,0.100
1 01 46.100,-33 54 13.700,21.835,0.049,21.124,0.101
1 01 58.460,-33 54 13.800,19.079,0.007,18.459,0.011
1 00 54.630,-33 54 14.500,22.325,0.033,21.985,0.100
1 02 07.350,-33 54 14.500,17.355,0.003,16.383,0.003
0 56 52.020,-33 54 14.700,20.151,0.010,17.994,0.005
1 02 16.060,-33 54 15.200,21.438,0.038,19.257,0.019
1 04 27.770,-33 54 15.300,19.707,0.011,19.116,0.013
0 59 43.620,-33 54 16.400,19.962,0.007,19.105,0.009
1 00 55.170,-33 54 17.400,21.984,0.026,21.257,0.050
0 56 23.770,-33 54 17.700,22.762,0.061,22.010,0.114
1 01 22.110,-33 54 17.800,21.824,0.022,21.137,0.043
0 55 33.850,-33 54 18.100,20.310,0.011,18.233,0.005
1 00 21.340,-33 54 18.200,21.592,0.020,21.026,0.043
0 59 51.430,-33 54 18.600,20.491,0.009,20.008,0.019
1 01 13.930,-33 54 18.700,21.140,0.015,18.894,0.006
1 01 29.050,-33 54 18.700,22.194,0.029,21.468,0.056
1 07 05.580,-33 54 18.800,18.952,0.005,16.782,0.002
1 00 34.650,-33 54 18.900,21.058,0.014,20.276,0.022
1 04 41.840,-33 54 18.900,20.343,0.017,19.831,0.024
1 05 16.560,-33 54 19.000,21.984,0.032,20.663,0.038
0 54 23.950,-33 54 19.300,20.684,0.024,18.570,0.008
0 57 23.320,-33 54 19.600,17.674,0.002,16.808,0.002
1 00 22.340,-33 54 19.600,20.482,0.009,19.650,0.013
1 00 18.250,-33 54 19.700,20.314,0.008,20.177,0.023
1 03 22.630,-33 54 19.800,22.106,0.083,21.746,0.133
1 07 09.020,-33 54 20.100,23.246,0.147,22.148,0.159
1 02 29.250,-33 54 20.200,21.267,0.030,20.422,0.054
1 05 24.420,-33 54 20.400,20.535,0.012,18.858,0.009
1 02 02.540,-33 54 20.700,20.188,0.015,18.675,0.013
1 00 56.540,-33 54 20.900,22.369,0.035,21.852,0.086
1 03 36.140,-33 54 20.900,22.760,0.143,21.930,0.150
1 00 40.850,-33 54 21.300,22.417,0.041,20.056,0.015
0 59 57.860,-33 54 21.500,18.847,0.004,17.834,0.004
0 56 59.640,-33 54 21.700,20.426,0.011,20.395,0.031
1 04 03.730,-33 54 21.800,22.765,0.145,22.060,0.171
0 53 15.210,-33 54 22.000,18.757,0.006,16.822,0.003
0 53 59.970,-33 54 22.300,19.999,0.014,18.069,0.006
1 05 56.300,-33 54 22.400,18.939,0.005,17.249,0.003
0 54 40.820,-33 54 22.500,19.701,0.010,18.848,0.010
0 59 44.160,-33 54 22.600,22.111,0.029,21.525,0.065
1 05 10.740,-33 54 22.600,16.901,0.002,16.390,0.002
0 59 54.320,-33 54 22.800,18.677,0.003,18.144,0.005
0 58 29.910,-33 54 23.500,20.774,0.017,20.030,0.023
1 00 13.230,-33 54 23.500,20.754,0.011,19.959,0.017
1 01 00.270,-33 54 23.700,20.254,0.008,19.673,0.014
0 53 42.830,-33 54 23.800,17.998,0.004,16.476,0.002
1 00 57.390,-33 54 24.900,19.993,0.007,19.103,0.009
1 01 14.030,-33 54 25.500,21.501,0.018,20.722,0.031
1 07 16.880,-33 54 25.600,19.559,0.006,17.025,0.002
0 58 22.490,-33 54 26.100,19.469,0.008,17.110,0.003
0 59 37.840,-33 54 26.400,18.309,0.003,17.590,0.003
1 03 59.440,-33 54 26.900,20.028,0.016,18.030,0.006
0 57 45.700,-33 54 27.400,18.076,0.004,15.569,0.001
0 59 46.890,-33 54 28.000,22.941,0.056,22.471,0.148
1 07 03.120,-33 54 28.200,18.871,0.004,17.455,0.003
1 00 47.320,-33 54 28.300,22.589,0.042,22.006,0.098
0 54 35.840,-33 54 28.400,21.196,0.033,20.498,0.040
0 59 36.610,-33 54 28.400,21.721,0.022,20.949,0.038
1 00 32.640,-33 54 28.600,20.068,0.007,19.313,0.010
1 05 54.100,-33 54 28.700,21.553,0.025,19.311,0.012
1 06 35.900,-33 54 29.200,23.457,0.188,20.907,0.049
0 54 24.560,-33 54 29.800,18.576,0.005,17.731,0.005
0 59 47.860,-33 54 29.800,19.351,0.005,18.535,0.006
1 00 41.350,-33 54 30.300,19.944,0.007,19.014,0.008
1 00 16.340,-33 54 30.500,21.739,0.022,21.033,0.042
0 55 58.730,-33 54 30.700,21.569,0.027,19.090,0.010
0 58 58.550,-33 54 31.100,20.707,0.010,19.877,0.015
0 59 01.340,-33 54 31.200,18.018,0.002,16.927,0.002
1 00 34.790,-33 54 31.400,21.012,0.013,20.157,0.020
1 03 40.490,-33 54 31.500,21.035,0.033,20.340,0.038
0 59 23.700,-33 54 32.600,20.256,0.008,19.354,0.010
1 00 27.540,-33 54 32.700,20.325,0.009,19.487,0.012
0 56 20.040,-33 54 33.000,23.408,0.115,21.228,0.054
1 01 48.850,-33 54 33.300,21.623,0.041,20.992,0.091
1 06 45.790,-33 54 33.500,19.170,0.006,17.272,0.003
1 03 35.030,-33 54 33.700,22.024,0.077,20.944,0.063
0 59 53.320,-33 54 34.000,22.129,0.030,21.417,0.058
1 06 39.980,-33 54 34.100,17.132,0.002,16.437,0.002
0 55 15.560,-33 54 34.200,20.244,0.011,18.180,0.005
1 01 11.420,-33 54 34.200,21.437,0.017,20.661,0.029
0 53 53.800,-33 54 34.700,16.905,0.002,16.068,0.002
0 53 37.800,-33 54 34.900,22.722,0.125,21.744,0.122
1 00 15.410,-33 54 35.400,20.488,0.009,20.491,0.030
0 59 58.790,-33 54 35.600,19.220,0.005,18.302,0.005
1 03 08.460,-33 54 35.600,22.158,0.086,21.471,0.101
0 56 16.490,-33 54 35.800,22.082,0.035,21.515,0.075
0 55 49.120,-33 54 35.900,20.727,0.014,19.585,0.015
1 01 24.060,-33 54 36.100,20.217,0.007,20.074,0.019
1 01 01.000,-33 54 36.800,22.264,0.032,21.524,0.062
1 00 05.210,-33 54 36.900,16.522,0.001,15.085,0.001
1 00 22.760,-33 54 37.400,22.342,0.034,22.081,0.111
1 00 15.910,-33 54 37.500,22.504,0.040,21.894,0.090
1 02 03.950,-33 54 38.100,20.277,0.015,19.969,0.038
0 59 35.880,-33 54 38.400,22.592,0.042,22.206,0.119
0 54 45.310,-33 54 38.500,18.350,0.003,16.700,0.002
0 59 48.140,-33 54 38.900,22.556,0.041,21.985,0.097
0 58 39.300,-33 54 39.000,19.583,0.008,18.655,0.008
0 59 37.120,-33 54 39.000,22.281,0.033,21.675,0.073
0 55 40.000,-33 54 39.300,21.768,0.030,19.924,0.019
0 59 41.400,-33 54 39.900,22.406,0.036,22.279,0.132
0 54 30.660,-33 54 40.000,20.312,0.017,18.682,0.009
0 59 14.450,-33 54 40.300,21.531,0.018,21.823,0.092
0 58 35.060,-33 54 40.400,20.819,0.018,19.976,0.022
0 58 52.560,-33 54 40.600,22.178,0.030,21.031,0.036
1 05 32.060,-33 54 40.700,22.308,0.042,20.695,0.037
1 00 59.650,-33 54 40.800,23.101,0.065,22.182,0.107
0 54 03.190,-33 54 41.000,18.182,0.004,17.538,0.004
1 02 05.460,-33 54 41.600,20.009,0.013,18.930,0.016
1 03 32.130,-33 54 41.600,18.700,0.006,17.064,0.003
0 59 09.240,-33 54 41.900,20.647,0.010,19.808,0.014
1 05 17.860,-33 54 42.100,20.968,0.015,19.254,0.011
0 59 21.920,-33 54 42.200,23.314,0.081,21.966,0.082
1 00 01.750,-33 54 42.500,19.849,0.006,19.442,0.012
1 00 08.810,-33 54 42.800,21.701,0.021,21.399,0.061
1 00 32.390,-33 54 43.000,20.244,0.008,20.096,0.021
1 00 12.460,-33 54 43.300,20.505,0.009,20.035,0.019
0 58 57.620,-33 54 43.700,17.280,0.002,15.504,0.001
0 59 33.040,-33 54 43.800,19.605,0.006,18.713,0.007
1 00 10.820,-33 54 43.800,21.353,0.017,20.626,0.030
0 58 09.520,-33 54 43.900,19.408,0.008,17.299,0.003
0 58 34.490,-33 54 43.900,19.954,0.010,19.035,0.011
1 00 48.410,-33 54 43.900,21.049,0.013,20.237,0.021
1 05 34.000,-33 54 44.300,20.853,0.020,20.429,0.037
1 01 11.020,-33 54 44.900,21.593,0.019,20.896,0.036
0 59 58.460,-33 54 45.800,20.843,0.012,20.397,0.026
0 57 59.230,-33 54 46.400,20.240,0.012,20.128,0.026
0 57 27.570,-33 54 46.700,21.085,0.018,18.990,0.009
0 58 59.510,-33 54 46.800,21.889,0.024,21.252,0.047
1 01 06.690,-33 54 46.800,18.190,0.003,17.805,0.004
1 04 49.010,-33 54 46.900,18.786,0.005,16.438,0.002
0 59 54.260,-33 54 47.300,21.766,0.023,21.026,0.041
0 59 36.570,-33 54 47.600,21.647,0.020,20.943,0.038
0 59 52.880,-33 54 47.700,20.300,0.008,20.204,0.023
1 00 05.170,-33 54 47.800,19.276,0.005,18.385,0.005
0 59 51.910,-33 54 48.300,19.764,0.006,18.904,0.008
1 04 17.230,-33 54 48.600,19.147,0.008,17.457,0.004
1 00 39.440,-33 54 48.900,18.222,0.003,17.154,0.003
0 58 17.910,-33 54 49.500,22.135,0.048,21.519,0.080
1 04 39.870,-33 54 49.500,21.956,0.076,19.657,0.019
1 00 10.960,-33 54 49.600,22.468,0.039,21.785,0.081
1 01 11.440,-33 54 49.800,22.249,0.031,21.551,0.063
1 02 52.990,-33 54 50.300,20.348,0.019,18.748,0.009
0 59 36.960,-33 54 50.500,20.267,0.008,20.161,0.022
0 55 30.630,-33 54 50.600,23.392,0.119,20.581,0.030
0 59 23.570,-33 54 50.900,21.452,0.017,21.434,0.064
0 59 57.550,-33 54 51.000,22.243,0.032,21.650,0.072
0 59 34.930,-33 54 51.100,21.537,0.019,20.798,0.034
1 00 00.350,-33 54 51.600,20.399,0.009,20.367,0.027
1 03 52.660,-33 54 51.800,23.572,0.298,21.929,0.145
0 59 08.400,-33 54 52.300,19.970,0.007,19.433,0.011
1 06 35.910,-33 54 52.300,19.457,0.006,17.547,0.003
0 56 32.400,-33 54 52.400,20.487,0.011,19.944,0.020
0 54 40.310,-33 54 52.800,21.833,0.062,19.517,0.016
1 06 44.460,-33 54 52.800,16.223,0.001,14.922,0.001
0 57 38.790,-33 54 53.000,19.193,0.007,17.039,0.003
0 59 41.090,-33 54 53.200,18.132,0.003,17.090,0.003
0 56 20.330,-33 54 53.800,22.170,0.042,20.006,0.020
0 59 59.880,-33 54 53.900,19.704,0.006,18.818,0.007
1 00 02.570,-33 54 54.300,22.842,0.052,22.273,0.124
1 00 58.160,-33 54 54.300,18.475,0.003,17.446,0.003
0 56 12.470,-33 54 54.600,20.562,0.012,20.053,0.022
1 02 29.690,-33 54 54.800,21.466,0.039,18.899,0.014
0 55 32.890,-33 54 55.200,20.656,0.014,18.611,0.007
0 59 41.530,-33 54 55.600,22.032,0.027,21.373,0.056
1 01 32.740,-33 54 55.700,17.305,0.003,16.111,0.002
0 59 25.050,-33 54 56.000,22.465,0.038,21.998,0.096
1 00 01.150,-33 54 56.700,20.175,0.008,19.926,0.018
1 00 21.260,-33 54 56.700,19.813,0.006,18.899,0.008
1 00 23.950,-33 54 56.900,21.050,0.014,19.371,0.010
1 01 06.450,-33 54 56.900,15.617,0.001,14.828,0.001
1 00 17.520,-33 54 57.200,21.461,0.018,20.748,0.033
1 00 47.870,-33 54 57.400,21.189,0.015,20.404,0.024
0 54 34.830,-33 54 57.900,23.836,0.316,22.506,0.219
0 58 53.080,-33 54 58.000,20.372,0.008,19.532,0.011
0 59 13.280,-33 54 58.300,19.484,0.005,19.413,0.012
1 00 47.540,-33 54 58.300,22.298,0.033,21.648,0.071
1 06 39.700,-33 54 58.300,23.078,0.137,20.441,0.032
1 00 09.020,-33 54 58.600,19.070,0.004,18.084,0.004
1 03 19.570,-33 54 58.900,17.954,0.004,16.879,0.003
0 58 36.980,-33 54 59.100,22.585,0.068,22.013,0.121
1 01 03.130,-33 54 59.200,18.855,0.004,17.671,0.003
1 02 26.390,-33 54 59.200,20.356,0.017,18.327,0.009
1 06 34.540,-33 54 59.400,20.310,0.010,19.117,0.010
1 04 01.810,-33 54 59.500,14.911,0.001,13.473,0.001
0 59 32.420,-33 54 59.800,22.710,0.046,22.182,0.113
0 58 10.480,-33 54 59.900,21.290,0.025,20.530,0.034
0 57 42.170,-33 55 00.400,23.142,0.115,22.054,0.125
1 00 36.380,-33 55 00.400,21.339,0.016,20.559,0.028
1 01 53.550,-33 55 00.500,21.160,0.031,18.951,0.015
1 03 03.690,-33 55 00.900,22.253,0.077,20.313,0.047
1 05 41.340,-33 55 01.100,18.737,0.004,17.436,0.003
1 00 02.970,-33 55 02.500,22.798,0.050,22.337,0.133
0 55 40.930,-33 55 02.800,21.489,0.022,21.168,0.057
0 57 26.870,-33 55 03.400,15.389,0.001,14.480,0.001
0 59 46.460,-33 55 03.900,22.533,0.041,21.890,0.088
1 05 30.530,-33 55 04.300,23.051,0.122,22.482,0.214
0 59 48.160,-33 55 04.600,21.935,0.025,21.365,0.056
0 55 52.400,-33 55 04.800,22.096,0.035,21.890,0.107
0 57 40.410,-33 55 04.900,20.460,0.014,19.331,0.013
1 00 05.440,-33 55 05.100,22.739,0.048,22.169,0.113
1 00 21.890,-33 55 05.100,22.143,0.029,21.673,0.076
1 04 26.020,-33 55 05.600,20.400,0.019,17.838,0.005
0 59 21.250,-33 55 06.000,22.427,0.037,21.859,0.084
1 05 01.140,-33 55 06.500,22.747,0.114,20.013,0.024
0 58 35.340,-33 55 06.800,19.500,0.008,17.329,0.003
0 55 34.570,-33 55 07.200,19.842,0.008,19.369,0.013
0 57 17.990,-33 55 07.200,21.965,0.032,21.315,0.062
0 59 50.720,-33 55 07.200,21.223,0.015,20.496,0.026
1 02 37.840,-33 55 07.200,16.866,0.002,16.058,0.002
1 04 10.850,-33 55 07.400,18.829,0.006,17.905,0.005
0 58 01.260,-33 55 07.500,19.505,0.008,18.279,0.006
0 59 47.050,-33 55 07.500,22.454,0.038,21.888,0.088
0 54 12.930,-33 55 07.700,23.265,0.222,20.327,0.031
0 58 10.030,-33 55 07.800,22.307,0.054,21.843,0.106
0 58 36.410,-33 55 08.700,20.638,0.017,18.315,0.006
0 59 34.580,-33 55 08.800,22.995,0.057,22.722,0.186
0 59 37.740,-33 55 08.800,19.935,0.007,19.153,0.009
0 56 42.610,-33 55 09.000,20.675,0.013,20.154,0.023
0 59 58.370,-33 55 09.000,22.305,0.034,21.791,0.082
1 07 02.880,-33 55 09.200,23.252,0.152,21.789,0.115
0 58 59.840,-33 55 09.400,20.957,0.012,20.115,0.018
0 59 41.050,-33 55 09.500,17.084,0.002,15.810,0.001
1 00 47.780,-33 55 09.500,22.456,0.037,21.954,0.094
0 59 35.480,-33 55 09.600,22.875,0.053,22.412,0.139
1 01 14.200,-33 55 09.700,21.971,0.025,21.275,0.049
1 05 54.030,-33 55 09.700,19.755,0.007,18.208,0.005
0 56 07.110,-33 55 10.000,19.069,0.005,18.618,0.008
0 59 13.500,-33 55 10.000,22.188,0.031,21.537,0.062
0 52 48.580,-33 55 10.100,20.433,0.018,18.794,0.010
1 00 19.260,-33 55 10.300,23.074,0.060,23.022,0.252
1 00 31.800,-33 55 10.400,18.914,0.004,17.117,0.002
0 59 26.870,-33 55 11.000,20.964,0.013,20.202,0.020
1 05 46.050,-33 55 11.600,17.483,0.002,16.374,0.002
1 00 40.520,-33 55 11.700,21.785,0.022,21.094,0.044
1 06 00.700,-33 55 11.700,18.466,0.004,17.079,0.003
1 00 39.990,-33 55 11.900,20.903,0.012,20.406,0.025
0 58 37.650,-33 55 13.000,15.957,0.001,14.884,0.001
1 00 59.640,-33 55 13.000,22.882,0.051,22.611,0.169
1 00 15.660,-33 55 13.200,20.252,0.008,19.365,0.011
0 57 28.830,-33 55 13.300,22.060,0.050,19.582,0.015
0 59 31.770,-33 55 13.400,21.979,0.026,21.232,0.048
0 59 47.930,-33 55 13.400,20.223,0.008,20.133,0.022
1 00 17.560,-33 55 13.400,19.844,0.006,19.098,0.009
1 04 15.700,-33 55 13.500,20.750,0.025,19.676,0.021
0 59 19.350,-33 55 14.800,20.702,0.011,19.913,0.016
1 00 44.600,-33 55 14.800,22.799,0.054,20.726,0.026
0 53 40.380,-33 55 15.000,20.543,0.019,19.921,0.026
0 55 03.940,-33 55 15.100,22.916,0.076,20.907,0.041
0 59 23.900,-33 55 15.400,22.173,0.034,19.687,0.011
0 53 48.270,-33 55 15.600,18.201,0.004,17.248,0.003
0 59 55.720,-33 55 15.700,18.187,0.003,17.266,0.003
0 58 05.510,-33 55 16.300,17.549,0.003,16.626,0.002
1 00 52.410,-33 55 16.300,22.981,0.064,20.686,0.024
1 00 34.560,-33 55 17.400,22.040,0.027,21.575,0.069
1 00 32.840,-33 55 17.600,19.050,0.004,18.079,0.004
0 56 21.160,-33 55 17.800,20.948,0.016,19.397,0.012
0 58 11.240,-33 55 17.900,22.856,0.084,22.534,0.192
1 01 21.700,-33 55 18.100,22.844,0.049,22.228,0.111
1 00 17.040,-33 55 18.300,21.045,0.013,20.309,0.023
1 00 23.840,-33 55 18.300,22.251,0.032,21.513,0.063
0 59 09.980,-33 55 18.400,22.488,0.038,22.156,0.110
0 53 43.080,-33 55 18.700,20.762,0.026,18.243,0.006
0 57 51.400,-33 55 18.700,19.001,0.006,17.944,0.005
1 00 42.400,-33 55 18.900,22.256,0.032,21.637,0.070
0 59 44.360,-33 55 19.100,19.555,0.006,18.618,0.006
0 59 33.800,-33 55 19.500,19.901,0.007,18.999,0.008
1 00 38.560,-33 55 19.500,21.847,0.023,21.177,0.047
1 01 05.000,-33 55 19.700,19.414,0.005,18.410,0.005
1 00 11.390,-33 55 19.800,21.711,0.021,21.463,0.065
1 02 10.040,-33 55 19.900,20.166,0.012,18.059,0.006
0 55 43.600,-33 55 20.400,22.988,0.078,21.475,0.069
1 00 55.890,-33 55 20.600,21.320,0.016,20.485,0.025
0 54 39.030,-33 55 21.100,20.807,0.023,20.247,0.032
1 00 07.640,-33 55 21.300,20.173,0.008,19.515,0.012
1 06 46.880,-33 55 21.300,23.380,0.169,21.257,0.067
1 02 05.610,-33 55 21.700,18.943,0.005,18.846,0.011
0 58 55.580,-33 55 21.800,22.784,0.047,22.222,0.109
1 02 23.790,-33 55 22.500,17.858,0.003,16.773,0.003
1 00 10.970,-33 55 22.600,22.266,0.033,21.686,0.075
0 54 25.410,-33 55 22.700,16.910,0.002,16.285,0.002
0 53 42.430,-33 55 24.000,19.450,0.009,18.251,0.007
1 07 16.460,-33 55 24.000,22.978,0.120,21.152,0.063
0 58 13.300,-33 55 24.100,17.144,0.002,16.523,0.002
1 01 21.270,-33 55 24.400,21.568,0.018,20.770,0.031
1 01 55.420,-33 55 25.800,21.766,0.045,21.199,0.108
1 00 20.170,-33 55 26.000,20.250,0.008,20.044,0.020
0 59 03.660,-33 55 26.300,20.317,0.008,19.730,0.014
0 59 40.890,-33 55 26.300,21.186,0.015,20.370,0.023
0 59 37.920,-33 55 26.400,19.738,0.006,18.875,0.007
0 53 44.620,-33 55 26.700,21.569,0.050,19.515,0.017
0 54 32.860,-33 55 26.700,18.218,0.004,17.428,0.004
0 59 44.650,-33 55 26.900,21.786,0.023,21.089,0.043
1 00 12.770,-33 55 27.000,21.821,0.023,21.109,0.045
1 01 09.680,-33 55 27.000,22.996,0.057,22.311,0.121
1 06 26.710,-33 55 27.000,22.190,0.038,20.239,0.025
0 59 19.640,-33 55 27.600,22.959,0.057,22.391,0.131
1 00 23.130,-33 55 28.100,20.292,0.008,20.151,0.022
1 06 16.690,-33 55 28.600,23.879,0.243,22.736,0.251
1 02 22.090,-33 55 28.900,19.711,0.008,19.155,0.014
0 59 02.260,-33 55 29.200,20.446,0.009,20.361,0.024
0 58 14.160,-33 55 29.300,18.436,0.004,17.339,0.004
1 00 41.510,-33 55 30.000,18.552,0.003,17.484,0.003
0 55 33.510,-33 55 30.400,18.555,0.004,17.049,0.003
1 01 07.550,-33 55 30.600,22.053,0.026,21.625,0.070
1 02 26.380,-33 55 30.600,17.913,0.003,17.201,0.004
1 03 30.560,-33 55 30.900,15.409,0.001,14.753,0.001
0 58 38.760,-33 55 31.100,18.070,0.003,17.400,0.004
0 56 47.990,-33 55 31.300,21.432,0.022,20.834,0.043
1 00 48.130,-33 55 31.700,20.960,0.013,20.105,0.019
1 05 28.800,-33 55 32.200,18.812,0.004,17.454,0.003
0 57 54.260,-33 55 32.800,21.777,0.036,21.076,0.055
1 04 32.610,-33 55 32.800,19.952,0.013,19.549,0.019
1 00 22.090,-33 55 32.900,20.435,0.009,19.980,0.018
1 00 44.830,-33 55 33.100,19.898,0.009,19.569,0.015
1 00 27.300,-33 55 34.000,22.599,0.042,22.110,0.109
1 00 00.750,-33 55 34.500,18.062,0.003,16.981,0.002
0 58 39.650,-33 55 34.600,17.471,0.003,16.224,0.002
0 59 31.460,-33 55 34.800,22.022,0.027,21.329,0.053
1 01 11.350,-33 55 34.800,20.279,0.008,19.391,0.010
0 56 21.290,-33 55 35.400,18.576,0.004,16.299,0.002
1 00 36.310,-33 55 35.600,21.744,0.022,21.071,0.043
0 53 09.860,-33 55 35.700,23.135,0.181,21.858,0.141
0 56 58.440,-33 55 36.200,23.143,0.090,21.951,0.108
0 58 45.570,-33 55 36.200,21.057,0.023,18.293,0.006
1 03 05.670,-33 55 36.200,19.430,0.007,18.740,0.010
0 59 59.090,-33 55 36.300,22.426,0.037,21.939,0.094
1 05 15.390,-33 55 36.600,22.409,0.081,20.802,0.052
1 01 03.220,-33 55 36.700,19.396,0.005,18.891,0.008
0 55 40.450,-33 55 36.800,21.566,0.025,20.373,0.028
1 00 23.810,-33 55 36.800,22.228,0.032,21.434,0.058
0 53 28.940,-33 55 37.000,16.699,0.002,15.862,0.002
0 55 43.120,-33 55 37.000,19.029,0.005,18.553,0.007
1 02 04.850,-33 55 37.100,21.176,0.024,20.461,0.041
1 00 58.050,-33 55 37.300,19.695,0.006,18.772,0.007
1 06 32.590,-33 55 37.400,20.540,0.011,18.681,0.007
1 01 24.450,-33 55 37.500,20.374,0.008,19.455,0.011
0 56 24.020,-33 55 37.900,21.036,0.016,20.639,0.036
0 57 31.910,-33 55 38.400,21.873,0.038,21.284,0.065
0 54 04.330,-33 55 38.500,23.536,0.274,21.099,0.065
0 56 18.380,-33 55 39.100,19.950,0.008,19.111,0.010
1 00 48.020,-33 55 39.100,17.867,0.002,17.072,0.003
1 01 13.810,-33 55 39.600,20.559,0.010,17.723,0.003
1 03 25.990,-33 55 39.600,19.000,0.005,17.449,0.004
1 02 47.170,-33 55 39.800,18.015,0.003,16.221,0.002
1 02 11.760,-33 55 39.900,20.422,0.015,17.828,0.005
1 07 01.370,-33 55 40.400,22.549,0.091,19.922,0.022
0 53 30.600,-33 55 40.600,16.417,0.002,15.320,0.001
1 00 08.240,-33 55 40.600,16.594,0.001,15.867,0.001
1 03 49.190,-33 55 40.900,21.613,0.054,19.550,0.017
1 00 12.610,-33 55 41.100,22.855,0.052,22.203,0.115
1 00 41.060,-33 55 41.300,22.406,0.036,21.833,0.084
1 06 20.190,-33 55 41.500,21.151,0.018,18.662,0.007
0 58 18.370,-33 55 42.100,21.308,0.028,18.939,0.009
1 02 31.600,-33 55 42.300,21.283,0.026,20.301,0.035
1 06 00.480,-33 55 42.700,22.713,0.110,19.716,0.018
1 07 16.740,-33 55 43.800,23.234,0.138,22.560,0.224
0 58 28.540,-33 55 44.000,21.495,0.029,20.788,0.042
1 00 29.220,-33 55 44.100,17.666,0.002,16.456,0.002
0 59 44.410,-33 55 44.200,18.869,0.004,17.880,0.004
0 58 31.210,-33 55 45.000,22.780,0.087,20.832,0.041
1 02 38.440,-33 55 45.100,16.427,0.001,14.875,0.001
1 00 21.810,-33 55 45.300,22.513,0.040,21.797,0.081
0 55 48.190,-33 55 45.700,19.834,0.008,17.527,0.004
1 01 50.640,-33 55 45.900,21.674,0.036,20.998,0.065
0 58 16.550,-33 55 46.300,22.500,0.068,20.951,0.047
0 59 45.630,-33 55 46.400,21.386,0.017,20.937,0.040
0 59 45.230,-33 55 46.700,21.496,0.018,20.747,0.032
1 00 11.300,-33 55 46.900,21.672,0.022,19.919,0.014
0 56 24.140,-33 55 47.500,21.713,0.029,19.588,0.014
0 56 45.860,-33 55 47.800,21.221,0.019,19.396,0.012
0 56 57.210,-33 55 47.900,16.085,0.001,15.337,0.001
0 59 27.770,-33 55 48.100,19.867,0.006,19.066,0.008
0 59 49.100,-33 55 48.100,19.308,0.005,18.432,0.006
0 59 58.900,-33 55 48.300,21.609,0.020,21.000,0.041
0 58 24.450,-33 55 48.900,21.422,0.028,19.892,0.019
0 56 22.250,-33 55 49.000,20.764,0.014,19.294,0.012
0 59 31.140,-33 55 49.000,22.566,0.045,20.393,0.019
1 00 06.630,-33 55 49.000,20.990,0.013,20.273,0.022
0 55 54.900,-33 55 49.800,21.843,0.032,19.800,0.017
0 56 39.460,-33 55 50.500,20.395,0.010,20.392,0.029
1 01 10.830,-33 55 50.600,22.381,0.034,21.874,0.085
1 03 03.450,-33 55 50.700,22.112,0.072,21.531,0.099
1 00 20.480,-33 55 50.800,22.727,0.046,22.347,0.136
1 00 12.490,-33 55 51.400,23.037,0.059,22.834,0.210
0 59 20.420,-33 55 51.600,21.630,0.020,20.891,0.035
1 01 10.340,-33 55 51.700,23.158,0.066,22.247,0.110
